approach,fold,metric,num_solvers_in_schedule,result,scenario_name
sbs,4.0,number_unsolved_instances_False,,0.23,QBF-2011
sbs,4.0,number_unsolved_instances_True,,0.23,QBF-2011
oracle,4.0,par10,,84.17,QBF-2011
sbs,4.0,par10,,2851.51,QBF-2014
sbs,4.0,number_unsolved_instances_False,,0.31,QBF-2014
sbs,4.0,number_unsolved_instances_True,,0.31,QBF-2014
oracle,4.0,par10,,39.8,QBF-2014
sbs,4.0,par10,,1415.85,QBF-2016
sbs,4.0,number_unsolved_instances_False,,0.08,QBF-2016
sbs,4.0,number_unsolved_instances_True,,0.08,QBF-2016
oracle,4.0,par10,,9.59,QBF-2016
sbs,4.0,par10,,3823.68,SAT03-16_INDU
sbs,4.0,number_unsolved_instances_False,,0.08,SAT03-16_INDU
sbs,4.0,number_unsolved_instances_True,,0.09,SAT03-16_INDU
sbs,4.0,par10,,19095.01,SAT11-HAND
sbs,4.0,number_unsolved_instances_False,,0.36,SAT11-HAND
sbs,4.0,number_unsolved_instances_True,,0.36,SAT11-HAND
oracle,4.0,par10,,673.13,SAT11-HAND
sbs,4.0,par10,,9680.15,SAT11-INDU
sbs,4.0,number_unsolved_instances_False,,0.19,SAT11-INDU
sbs,4.0,number_unsolved_instances_True,,0.19,SAT11-INDU
oracle,4.0,par10,,534.71,SAT11-INDU
sbs,4.0,par10,,19209.09,SAT11-RAND
sbs,4.0,number_unsolved_instances_False,,0.39,SAT11-RAND
sbs,4.0,number_unsolved_instances_True,,0.38,SAT11-RAND
oracle,4.0,par10,,383.59,SAT11-RAND
sbs,4.0,par10,,2821.06,SAT12-ALL
sbs,4.0,number_unsolved_instances_False,,0.23,SAT12-ALL
sbs,4.0,number_unsolved_instances_True,,0.23,SAT12-ALL
oracle,4.0,par10,,109.7,SAT12-ALL
sbs,4.0,par10,,4315.56,SAT12-HAND
sbs,4.0,number_unsolved_instances_False,,0.35,SAT12-HAND
sbs,4.0,number_unsolved_instances_True,,0.35,SAT12-HAND
oracle,4.0,par10,,135.57,SAT12-HAND
sbs,4.0,par10,,1200.38,SAT12-INDU
sbs,4.0,number_unsolved_instances_False,,0.09,SAT12-INDU
sbs,4.0,number_unsolved_instances_True,,0.09,SAT12-INDU
oracle,4.0,par10,,83.82,SAT12-INDU
sbs,4.0,par10,,500.22,SAT12-RAND
sbs,4.0,number_unsolved_instances_False,,0.04,SAT12-RAND
sbs,4.0,number_unsolved_instances_True,,0.04,SAT12-RAND
oracle,4.0,par10,,39.94,SAT12-RAND
sbs,4.0,par10,,1762.94,SAT15-INDU
sbs,4.0,number_unsolved_instances_False,,0.03,SAT15-INDU
sbs,4.0,number_unsolved_instances_True,,0.03,SAT15-INDU
oracle,4.0,par10,,211.77,SAT15-INDU
sbs,4.0,par10,,49.12,TSP-LION2015
sbs,4.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,4.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,5.0,par10,,463.98,ASP-POTASSCO
sbs,5.0,number_unsolved_instances_False,,0.07,ASP-POTASSCO
sbs,5.0,number_unsolved_instances_True,,0.07,ASP-POTASSCO
sbs,5.0,par10,,9470.53,BNSL-2016
sbs,5.0,number_unsolved_instances_False,,0.13,BNSL-2016
sbs,5.0,number_unsolved_instances_True,,0.13,BNSL-2016
sbs,5.0,par10,,3612.19,CPMP-2015
sbs,5.0,number_unsolved_instances_False,,0.09,CPMP-2015
sbs,5.0,number_unsolved_instances_True,,0.09,CPMP-2015
sbs,5.0,par10,,975.02,CSP-2010
sbs,5.0,number_unsolved_instances_False,,0.02,CSP-2010
sbs,5.0,number_unsolved_instances_True,,0.02,CSP-2010
oracle,5.0,par10,,93.76,CSP-2010
sbs,5.0,par10,,6197.84,CSP-MZN-2013
sbs,5.0,number_unsolved_instances_False,,0.34,CSP-MZN-2013
sbs,5.0,number_unsolved_instances_True,,0.34,CSP-MZN-2013
oracle,5.0,par10,,118.74,CSP-MZN-2013
sbs,5.0,par10,,1502.48,CSP-Minizinc-Time-2016
sbs,5.0,number_unsolved_instances_False,,0.12,CSP-Minizinc-Time-2016
sbs,5.0,number_unsolved_instances_True,,0.12,CSP-Minizinc-Time-2016
oracle,5.0,par10,,6.2,CSP-Minizinc-Time-2016
sbs,5.0,par10,,10804538.84,GRAPHS-2015
sbs,5.0,number_unsolved_instances_False,,0.01,GRAPHS-2015
sbs,5.0,number_unsolved_instances_True,,0.01,GRAPHS-2015
sbs,5.0,par10,,1715.98,MAXSAT-PMS-2016
sbs,5.0,number_unsolved_instances_False,,0.09,MAXSAT-PMS-2016
sbs,5.0,number_unsolved_instances_True,,0.09,MAXSAT-PMS-2016
oracle,5.0,par10,,74.54,MAXSAT-PMS-2016
sbs,5.0,par10,,796.51,MAXSAT-WPMS-2016
sbs,5.0,number_unsolved_instances_False,,0.04,MAXSAT-WPMS-2016
sbs,5.0,number_unsolved_instances_True,,0.04,MAXSAT-WPMS-2016
oracle,5.0,par10,,72.32,MAXSAT-WPMS-2016
sbs,5.0,par10,,2085.56,MAXSAT12-PMS
sbs,5.0,number_unsolved_instances_False,,0.1,MAXSAT12-PMS
sbs,5.0,number_unsolved_instances_True,,0.1,MAXSAT12-PMS
oracle,5.0,par10,,29.96,MAXSAT12-PMS
sbs,5.0,par10,,1431.04,MAXSAT15-PMS-INDU
sbs,5.0,number_unsolved_instances_False,,0.07,MAXSAT15-PMS-INDU
sbs,5.0,number_unsolved_instances_True,,0.07,MAXSAT15-PMS-INDU
oracle,5.0,par10,,86.24,MAXSAT15-PMS-INDU
oracle,5.0,par10,,681.09,MIP-2016
sbs,5.0,par10,,1086.59,MIP-2016
sbs,5.0,number_unsolved_instances_False,,0.0,MIP-2016
sbs,5.0,number_unsolved_instances_True,,0.0,MIP-2016
sbs,5.0,par10,,10171.4,PROTEUS-2014
sbs,5.0,number_unsolved_instances_False,,0.28,PROTEUS-2014
sbs,5.0,number_unsolved_instances_True,,0.28,PROTEUS-2014
sbs,5.0,par10,,9749.9,QBF-2011
sbs,5.0,number_unsolved_instances_False,,0.27,QBF-2011
sbs,5.0,number_unsolved_instances_True,,0.27,QBF-2011
oracle,5.0,par10,,76.05,QBF-2011
sbs,5.0,par10,,2457.95,QBF-2014
sbs,5.0,number_unsolved_instances_False,,0.27,QBF-2014
sbs,5.0,number_unsolved_instances_True,,0.27,QBF-2014
oracle,5.0,par10,,28.96,QBF-2014
sbs,5.0,par10,,2981.58,QBF-2016
sbs,5.0,number_unsolved_instances_False,,0.16,QBF-2016
sbs,5.0,number_unsolved_instances_True,,0.16,QBF-2016
oracle,5.0,par10,,11.32,QBF-2016
sbs,5.0,par10,,4403.27,SAT03-16_INDU
sbs,5.0,number_unsolved_instances_False,,0.09,SAT03-16_INDU
sbs,5.0,number_unsolved_instances_True,,0.11,SAT03-16_INDU
sbs,5.0,par10,,15287.17,SAT11-HAND
sbs,5.0,number_unsolved_instances_False,,0.29,SAT11-HAND
sbs,5.0,number_unsolved_instances_True,,0.29,SAT11-HAND
oracle,5.0,par10,,533.76,SAT11-HAND
sbs,5.0,par10,,12510.63,SAT11-INDU
sbs,5.0,number_unsolved_instances_False,,0.24,SAT11-INDU
sbs,5.0,number_unsolved_instances_True,,0.24,SAT11-INDU
oracle,5.0,par10,,415.26,SAT11-INDU
sbs,5.0,par10,,13638.27,SAT11-RAND
sbs,5.0,number_unsolved_instances_False,,0.27,SAT11-RAND
sbs,5.0,number_unsolved_instances_True,,0.27,SAT11-RAND
oracle,5.0,par10,,185.3,SAT11-RAND
sbs,5.0,par10,,2701.83,SAT12-ALL
sbs,5.0,number_unsolved_instances_False,,0.22,SAT12-ALL
sbs,5.0,number_unsolved_instances_True,,0.22,SAT12-ALL
oracle,5.0,par10,,98.3,SAT12-ALL
sbs,5.0,par10,,4217.45,SAT12-HAND
sbs,5.0,number_unsolved_instances_False,,0.35,SAT12-HAND
sbs,5.0,number_unsolved_instances_True,,0.35,SAT12-HAND
oracle,5.0,par10,,93.97,SAT12-HAND
sbs,5.0,par10,,1522.25,SAT12-INDU
sbs,5.0,number_unsolved_instances_False,,0.12,SAT12-INDU
sbs,5.0,number_unsolved_instances_True,,0.12,SAT12-INDU
oracle,5.0,par10,,81.76,SAT12-INDU
sbs,5.0,par10,,538.06,SAT12-RAND
sbs,5.0,number_unsolved_instances_False,,0.04,SAT12-RAND
sbs,5.0,number_unsolved_instances_True,,0.04,SAT12-RAND
oracle,5.0,par10,,63.29,SAT12-RAND
sbs,5.0,par10,,2900.08,SAT15-INDU
sbs,5.0,number_unsolved_instances_False,,0.07,SAT15-INDU
sbs,5.0,number_unsolved_instances_True,,0.07,SAT15-INDU
oracle,5.0,par10,,295.65,SAT15-INDU
sbs,5.0,par10,,51.67,TSP-LION2015
sbs,5.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,5.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,6.0,par10,,643.04,ASP-POTASSCO
sbs,6.0,number_unsolved_instances_False,,0.1,ASP-POTASSCO
sbs,6.0,number_unsolved_instances_True,,0.1,ASP-POTASSCO
sbs,6.0,par10,,11233.09,BNSL-2016
sbs,6.0,number_unsolved_instances_False,,0.15,BNSL-2016
sbs,6.0,number_unsolved_instances_True,,0.15,BNSL-2016
sbs,6.0,par10,,10403.91,CPMP-2015
sbs,6.0,number_unsolved_instances_False,,0.28,CPMP-2015
sbs,6.0,number_unsolved_instances_True,,0.28,CPMP-2015
sbs,6.0,par10,,933.27,CSP-2010
sbs,6.0,number_unsolved_instances_False,,0.02,CSP-2010
sbs,6.0,number_unsolved_instances_True,,0.02,CSP-2010
oracle,6.0,par10,,91.97,CSP-2010
sbs,6.0,par10,,6438.87,CSP-MZN-2013
sbs,6.0,number_unsolved_instances_False,,0.35,CSP-MZN-2013
sbs,6.0,number_unsolved_instances_True,,0.35,CSP-MZN-2013
oracle,6.0,par10,,119.66,CSP-MZN-2013
sbs,6.0,par10,,1533.84,CSP-Minizinc-Time-2016
sbs,6.0,number_unsolved_instances_False,,0.12,CSP-Minizinc-Time-2016
sbs,6.0,number_unsolved_instances_True,,0.12,CSP-Minizinc-Time-2016
oracle,6.0,par10,,6.6,CSP-Minizinc-Time-2016
sbs,6.0,par10,,10949326.19,GRAPHS-2015
sbs,6.0,number_unsolved_instances_False,,0.01,GRAPHS-2015
sbs,6.0,number_unsolved_instances_True,,0.01,GRAPHS-2015
sbs,6.0,par10,,778.25,MAXSAT-PMS-2016
sbs,6.0,number_unsolved_instances_False,,0.04,MAXSAT-PMS-2016
sbs,6.0,number_unsolved_instances_True,,0.04,MAXSAT-PMS-2016
oracle,6.0,par10,,43.53,MAXSAT-PMS-2016
sbs,6.0,par10,,2147.68,MAXSAT-WPMS-2016
sbs,6.0,number_unsolved_instances_False,,0.11,MAXSAT-WPMS-2016
sbs,6.0,number_unsolved_instances_True,,0.11,MAXSAT-WPMS-2016
oracle,6.0,par10,,166.64,MAXSAT-WPMS-2016
sbs,6.0,par10,,3693.47,MAXSAT12-PMS
sbs,6.0,number_unsolved_instances_False,,0.17,MAXSAT12-PMS
sbs,6.0,number_unsolved_instances_True,,0.17,MAXSAT12-PMS
oracle,6.0,par10,,42.3,MAXSAT12-PMS
sbs,6.0,par10,,1308.0,MAXSAT15-PMS-INDU
sbs,6.0,number_unsolved_instances_False,,0.07,MAXSAT15-PMS-INDU
sbs,6.0,number_unsolved_instances_True,,0.07,MAXSAT15-PMS-INDU
oracle,6.0,par10,,57.54,MAXSAT15-PMS-INDU
sbs,6.0,par10,,3587.77,MIP-2016
sbs,6.0,number_unsolved_instances_False,,0.05,MIP-2016
sbs,6.0,number_unsolved_instances_True,,0.05,MIP-2016
oracle,6.0,par10,,264.14,MIP-2016
sbs,6.0,par10,,11449.78,PROTEUS-2014
sbs,6.0,number_unsolved_instances_False,,0.32,PROTEUS-2014
sbs,6.0,number_unsolved_instances_True,,0.32,PROTEUS-2014
sbs,6.0,par10,,8602.85,QBF-2011
sbs,6.0,number_unsolved_instances_False,,0.24,QBF-2011
sbs,6.0,number_unsolved_instances_True,,0.24,QBF-2011
oracle,6.0,par10,,133.49,QBF-2011
sbs,6.0,par10,,1420.95,QBF-2014
sbs,6.0,number_unsolved_instances_False,,0.16,QBF-2014
sbs,6.0,number_unsolved_instances_True,,0.16,QBF-2014
oracle,6.0,par10,,21.38,QBF-2014
sbs,6.0,par10,,3774.83,QBF-2016
sbs,6.0,number_unsolved_instances_False,,0.21,QBF-2016
sbs,6.0,number_unsolved_instances_True,,0.21,QBF-2016
oracle,6.0,par10,,19.54,QBF-2016
sbs,6.0,par10,,4963.31,SAT03-16_INDU
sbs,6.0,number_unsolved_instances_False,,0.1,SAT03-16_INDU
sbs,6.0,number_unsolved_instances_True,,0.12,SAT03-16_INDU
sbs,6.0,par10,,14432.82,SAT11-HAND
sbs,6.0,number_unsolved_instances_False,,0.27,SAT11-HAND
sbs,6.0,number_unsolved_instances_True,,0.27,SAT11-HAND
oracle,6.0,par10,,560.46,SAT11-HAND
sbs,6.0,par10,,10177.84,SAT11-INDU
sbs,6.0,number_unsolved_instances_False,,0.19,SAT11-INDU
sbs,6.0,number_unsolved_instances_True,,0.19,SAT11-INDU
oracle,6.0,par10,,501.26,SAT11-INDU
sbs,6.0,par10,,15756.72,SAT11-RAND
sbs,6.0,number_unsolved_instances_False,,0.32,SAT11-RAND
sbs,6.0,number_unsolved_instances_True,,0.32,SAT11-RAND
oracle,6.0,par10,,272.55,SAT11-RAND
sbs,6.0,par10,,3249.0,SAT12-ALL
sbs,6.0,number_unsolved_instances_False,,0.26,SAT12-ALL
sbs,6.0,number_unsolved_instances_True,,0.26,SAT12-ALL
oracle,6.0,par10,,81.56,SAT12-ALL
sbs,6.0,par10,,3441.46,SAT12-HAND
sbs,6.0,number_unsolved_instances_False,,0.28,SAT12-HAND
sbs,6.0,number_unsolved_instances_True,,0.28,SAT12-HAND
oracle,6.0,par10,,88.77,SAT12-HAND
sbs,6.0,par10,,1208.27,SAT12-INDU
sbs,6.0,number_unsolved_instances_False,,0.09,SAT12-INDU
sbs,6.0,number_unsolved_instances_True,,0.09,SAT12-INDU
oracle,6.0,par10,,112.41,SAT12-INDU
sbs,6.0,par10,,688.53,SAT12-RAND
sbs,6.0,number_unsolved_instances_False,,0.06,SAT12-RAND
sbs,6.0,number_unsolved_instances_True,,0.05,SAT12-RAND
oracle,6.0,par10,,40.04,SAT12-RAND
sbs,6.0,par10,,3080.56,SAT15-INDU
sbs,6.0,number_unsolved_instances_False,,0.07,SAT15-INDU
sbs,6.0,number_unsolved_instances_True,,0.07,SAT15-INDU
oracle,6.0,par10,,358.07,SAT15-INDU
sbs,6.0,par10,,157.83,TSP-LION2015
sbs,6.0,number_unsolved_instances_False,,0.01,TSP-LION2015
sbs,6.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,7.0,par10,,924.74,ASP-POTASSCO
sbs,7.0,number_unsolved_instances_False,,0.15,ASP-POTASSCO
sbs,7.0,number_unsolved_instances_True,,0.15,ASP-POTASSCO
sbs,7.0,par10,,10524.61,BNSL-2016
sbs,7.0,number_unsolved_instances_False,,0.14,BNSL-2016
sbs,7.0,number_unsolved_instances_True,,0.14,BNSL-2016
sbs,7.0,par10,,6544.03,CPMP-2015
sbs,7.0,number_unsolved_instances_False,,0.17,CPMP-2015
sbs,7.0,number_unsolved_instances_True,,0.17,CPMP-2015
sbs,7.0,par10,,609.25,CSP-2010
sbs,7.0,number_unsolved_instances_False,,0.01,CSP-2010
sbs,7.0,number_unsolved_instances_True,,0.01,CSP-2010
oracle,7.0,par10,,63.06,CSP-2010
sbs,7.0,par10,,6410.28,CSP-MZN-2013
sbs,7.0,number_unsolved_instances_False,,0.35,CSP-MZN-2013
sbs,7.0,number_unsolved_instances_True,,0.35,CSP-MZN-2013
oracle,7.0,par10,,107.04,CSP-MZN-2013
sbs,7.0,par10,,3433.41,CSP-Minizinc-Time-2016
sbs,7.0,number_unsolved_instances_False,,0.29,CSP-Minizinc-Time-2016
sbs,7.0,number_unsolved_instances_True,,0.29,CSP-Minizinc-Time-2016
oracle,7.0,par10,,152.19,CSP-Minizinc-Time-2016
sbs,7.0,par10,,11013374.43,GRAPHS-2015
sbs,7.0,number_unsolved_instances_False,,0.01,GRAPHS-2015
sbs,7.0,number_unsolved_instances_True,,0.01,GRAPHS-2015
sbs,7.0,par10,,1017.71,MAXSAT-PMS-2016
sbs,7.0,number_unsolved_instances_False,,0.05,MAXSAT-PMS-2016
sbs,7.0,number_unsolved_instances_True,,0.05,MAXSAT-PMS-2016
oracle,7.0,par10,,29.88,MAXSAT-PMS-2016
sbs,7.0,par10,,495.08,MAXSAT-WPMS-2016
sbs,7.0,number_unsolved_instances_False,,0.02,MAXSAT-WPMS-2016
sbs,7.0,number_unsolved_instances_True,,0.02,MAXSAT-WPMS-2016
oracle,7.0,par10,,59.83,MAXSAT-WPMS-2016
sbs,7.0,par10,,1765.33,MAXSAT12-PMS
sbs,7.0,number_unsolved_instances_False,,0.08,MAXSAT12-PMS
sbs,7.0,number_unsolved_instances_True,,0.08,MAXSAT12-PMS
oracle,7.0,par10,,29.42,MAXSAT12-PMS
sbs,7.0,par10,,708.31,MAXSAT15-PMS-INDU
sbs,7.0,number_unsolved_instances_False,,0.03,MAXSAT15-PMS-INDU
sbs,7.0,number_unsolved_instances_True,,0.03,MAXSAT15-PMS-INDU
oracle,7.0,par10,,45.9,MAXSAT15-PMS-INDU
sbs,7.0,par10,,265.09,MIP-2016
sbs,7.0,number_unsolved_instances_False,,0.0,MIP-2016
sbs,7.0,number_unsolved_instances_True,,0.0,MIP-2016
oracle,7.0,par10,,181.05,MIP-2016
sbs,7.0,par10,,11182.04,PROTEUS-2014
sbs,7.0,number_unsolved_instances_False,,0.31,PROTEUS-2014
sbs,7.0,number_unsolved_instances_True,,0.31,PROTEUS-2014
sbs,7.0,par10,,9746.72,QBF-2011
sbs,7.0,number_unsolved_instances_False,,0.27,QBF-2011
sbs,7.0,number_unsolved_instances_True,,0.27,QBF-2011
oracle,7.0,par10,,89.62,QBF-2011
sbs,7.0,par10,,2066.81,QBF-2014
sbs,7.0,number_unsolved_instances_False,,0.23,QBF-2014
sbs,7.0,number_unsolved_instances_True,,0.23,QBF-2014
oracle,7.0,par10,,44.18,QBF-2014
sbs,7.0,par10,,3184.9,QBF-2016
sbs,7.0,number_unsolved_instances_False,,0.18,QBF-2016
sbs,7.0,number_unsolved_instances_True,,0.18,QBF-2016
oracle,7.0,par10,,11.33,QBF-2016
sbs,7.0,par10,,3376.8,SAT03-16_INDU
sbs,7.0,number_unsolved_instances_False,,0.07,SAT03-16_INDU
sbs,7.0,number_unsolved_instances_True,,0.09,SAT03-16_INDU
sbs,7.0,par10,,27638.03,SAT11-HAND
sbs,7.0,number_unsolved_instances_False,,0.54,SAT11-HAND
sbs,7.0,number_unsolved_instances_True,,0.54,SAT11-HAND
oracle,7.0,par10,,289.3,SAT11-HAND
sbs,7.0,par10,,4459.53,SAT11-INDU
sbs,7.0,number_unsolved_instances_False,,0.08,SAT11-INDU
sbs,7.0,number_unsolved_instances_True,,0.08,SAT11-INDU
oracle,7.0,par10,,318.96,SAT11-INDU
sbs,7.0,par10,,15440.8,SAT11-RAND
sbs,7.0,number_unsolved_instances_False,,0.31,SAT11-RAND
sbs,7.0,number_unsolved_instances_True,,0.31,SAT11-RAND
oracle,7.0,par10,,195.96,SAT11-RAND
sbs,7.0,par10,,2894.2,SAT12-ALL
sbs,7.0,number_unsolved_instances_False,,0.23,SAT12-ALL
sbs,7.0,number_unsolved_instances_True,,0.23,SAT12-ALL
oracle,7.0,par10,,97.63,SAT12-ALL
sbs,7.0,par10,,3581.82,SAT12-HAND
sbs,7.0,number_unsolved_instances_False,,0.29,SAT12-HAND
sbs,7.0,number_unsolved_instances_True,,0.29,SAT12-HAND
oracle,7.0,par10,,118.85,SAT12-HAND
sbs,7.0,par10,,1207.75,SAT12-INDU
sbs,7.0,number_unsolved_instances_False,,0.09,SAT12-INDU
sbs,7.0,number_unsolved_instances_True,,0.09,SAT12-INDU
oracle,7.0,par10,,76.39,SAT12-INDU
sbs,7.0,par10,,368.42,SAT12-RAND
sbs,7.0,number_unsolved_instances_False,,0.03,SAT12-RAND
sbs,7.0,number_unsolved_instances_True,,0.03,SAT12-RAND
oracle,7.0,par10,,26.44,SAT12-RAND
sbs,7.0,par10,,1960.86,SAT15-INDU
sbs,7.0,number_unsolved_instances_False,,0.04,SAT15-INDU
sbs,7.0,number_unsolved_instances_True,,0.04,SAT15-INDU
oracle,7.0,par10,,240.65,SAT15-INDU
sbs,7.0,par10,,44.82,TSP-LION2015
sbs,7.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,7.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,8.0,par10,,578.71,ASP-POTASSCO
sbs,8.0,number_unsolved_instances_False,,0.09,ASP-POTASSCO
sbs,8.0,number_unsolved_instances_True,,0.09,ASP-POTASSCO
sbs,8.0,par10,,8238.99,BNSL-2016
